# E/sigma^2    logf(E)
-19.98057 -10.66335
-18.24464 -9.92043
-17.77131 -9.71562
-17.29798 -9.51082
-16.82465 -9.30602
-16.35133 -9.09855
-15.87800 -8.89109
-15.40467 -8.68629
-14.93134 -8.48148
-14.45801 -8.27535
-13.98469 -8.06922
-13.51136 -7.86442
-13.03803 -7.65961
-12.56470 -7.45481
-12.09137 -7.24735
-11.61804 -7.04121
-11.14471 -6.83641
-10.67138 -6.63161
-10.19805 -6.42814
-9.72472 -6.22466
-9.25139 -6.01853
-8.77806 -5.81506
-8.30472 -5.61291
-7.83138 -5.41077
-7.35805 -5.20730
-6.88471 -5.01047
-6.41137 -4.80700
-5.93802 -4.61151
-5.46468 -4.41601
-4.99132 -4.22318
-4.48415 -4.01804
-3.94316 -3.80509
-3.40216 -3.59913
-2.82732 -3.38786
-2.21865 -3.17478
-1.57615 -2.96284
-0.89979 -2.75432
-0.18956 -2.56178
0.55452 -2.38068
1.29866 -2.22242
2.04283 -2.08363
2.78705 -1.96684
3.53129 -1.86444
4.27557 -1.77812
5.01987 -1.70280
5.76419 -1.63848
6.50852 -1.58008
7.25288 -1.53100
7.99724 -1.48699
8.74161 -1.44806
9.48599 -1.41167
10.23038 -1.37867
10.97476 -1.34735
11.71917 -1.32366
12.46357 -1.29911
13.20797 -1.27542
13.95238 -1.25511
14.69680 -1.23480
15.44121 -1.21533
16.18563 -1.19925
16.93005 -1.18402
17.67446 -1.16709
18.41888 -1.15101
19.16331 -1.13747
19.90774 -1.12816
20.65216 -1.11208
21.39659 -1.10108
22.14102 -1.09262
22.88544 -1.07739
23.62988 -1.07146
24.37430 -1.05623
25.11875 -1.05284
25.86317 -1.03846
26.60761 -1.03507
27.35204 -1.01984
28.09648 -1.01814
28.84091 -1.00630
29.58535 -0.99953
30.32979 -0.99445
31.07421 -0.98091
31.81867 -0.98091
32.56309 -0.96821
33.30753 -0.96229
34.05198 -0.95975
34.79640 -0.94706
35.54085 -0.94367
36.28529 -0.94198
37.02972 -0.93013
37.77416 -0.92505
38.51861 -0.92505
39.26305 -0.91574
40.00748 -0.90643
40.75193 -0.90643
41.49638 -0.90390
42.24081 -0.89289
42.98525 -0.88782
43.56051 -0.88782
44.94282 -0.87341
